iter	Passed	Remaining
254	497	1453
255	498	1449
256	500	1446
257	500	1440
258	501	1435
259	504	1435
260	507	1436
261	509	1433
262	510	1431
263	512	1429
264	514	1426
265	515	1421
266	516	1417
267	517	1412
268	518	1408
269	520	1406
270	521	1403
271	522	1399
272	523	1395
273	525	1391
274	526	1388
275	528	1385
276	529	1381
277	530	1376
278	530	1372
279	531	1367
280	532	1361
281	533	1358
282	535	1355
283	536	1352
284	537	1347
285	537	1342
286	538	1337
287	539	1332
288	539	1327
289	540	1322
290	540	1317
291	541	1313
292	542	1308
293	542	1303
294	543	1298
295	544	1294
296	544	1289
297	545	1284
298	545	1279
299	546	1275
300	547	1270
301	548	1268
302	550	1265
303	551	1262
304	552	1259
305	553	1255
306	554	1251
307	554	1246
308	555	1242
309	556	1238
310	557	1234
311	557	1229
312	558	1225
313	558	1220
314	559	1216
315	560	1212
316	560	1208
317	561	1204
318	562	1200
319	563	1197
320	565	1195
321	566	1191
322	566	1187
323	567	1183
324	567	1179
325	568	1175
326	569	1171
327	569	1167
328	570	1163
329	570	1159
330	571	1155
331	572	1151
332	572	1147
333	573	1143
334	574	1139
335	574	1135
336	575	1131
337	576	1128
338	576	1124
339	578	1122
340	579	1120
341	580	1117
342	581	1113
343	582	1110
344	583	1107
345	583	1103
346	584	1100
347	585	1096
348	585	1092
349	586	1088
350	586	1085
351	587	1081
352	588	1077
353	588	1074
354	589	1070
355	589	1067
356	590	1064
357	591	1060
358	593	1059
359	595	1057
360	596	1055
361	597	1052
362	598	1050
363	599	1047
364	600	1044
365	601	1041
366	601	1037
367	602	1034
368	602	1030
369	603	1027
370	604	1024
371	604	1020
372	605	1017
373	605	1014
374	606	1010
375	608	1009
376	609	1006
377	610	1004
378	611	1001
379	612	999
380	613	996
381	613	993
382	614	990
383	615	986
384	615	983
385	616	980
386	616	977
387	617	974
388	618	970
389	618	967
390	619	965
391	620	962
392	620	959
393	621	955
394	623	954
395	624	953
396	625	950
397	626	947
398	627	944
399	627	941
400	628	938
401	629	935
402	629	932
403	630	929
404	630	926
405	631	923
406	631	920
407	632	917
408	633	914
409	633	911
410	634	909
411	635	906
412	636	904
413	638	903
414	639	901
415	640	899
416	641	896
417	642	894
418	642	891
419	643	888
420	644	886
421	645	883
422	645	881
423	646	878
424	647	875
425	647	872
426	648	870
427	649	867
428	649	864
429	650	861
430	650	859
431	651	856
432	653	856
433	655	854
434	656	852
435	657	850
436	657	847
437	658	844
438	659	842
439	659	839
440	660	836
441	660	834
442	661	831
443	662	829
444	662	826
445	663	824
446	664	821
447	664	819
448	665	816
449	666	814
450	666	811
451	668	810
452	669	808
453	670	806
454	671	804
455	672	802
456	673	800
457	674	797
458	674	795
459	675	792
460	676	790
461	676	787
462	677	785
463	677	782
464	678	780
465	679	778
466	679	775
467	680	773
